name,slug,description,status,type,category,contactEmail,city,country,lat,lng,photoId1,photoUrl1,photoDesc1,photoId2,photoUrl2,photoDesc2,photoId3,photoUrl3,photoDesc3,videoUrl,videoDesc,virtualTourUrl
"有機農場","organic-farm","我們是一個專注於有機農業的小型農場，提供各種有機蔬果種植體驗和生態教育活動。","ACTIVE","FARM","永續農業","host1@example.com","宜蘭縣","台灣","24.7021","121.7377","organic-farm-photo-1","https://picsum.photos/seed/organic-farm-1/800/600","有機農場的田地景觀","organic-farm-photo-2","https://picsum.photos/seed/organic-farm-2/800/600","有機蔬菜展示","organic-farm-photo-3","https://picsum.photos/seed/organic-farm-3/800/600","農場工作環境","https://www.youtube.com/watch?v=example-organic-farm","關於有機農場的影片介紹","https://360tour.example.com/organic-farm"
"生態旅館","eco-lodge","位於山區的生態旅館，提供自然體驗和環境教育，致力於推廣永續旅遊。","ACTIVE","HOSTEL","生態旅遊","host2@example.com","南投縣","台灣","23.9609","120.9720","eco-lodge-photo-1","https://picsum.photos/seed/eco-lodge-1/800/600","生態旅館外觀","eco-lodge-photo-2","https://picsum.photos/seed/eco-lodge-2/800/600","住宿環境","eco-lodge-photo-3","https://picsum.photos/seed/eco-lodge-3/800/600","自然環境","","",""
"文化工作室","cultural-studio","專注於台灣傳統文化保存和推廣的工作室，提供各種文化體驗和工藝學習機會。","ACTIVE","ART_CENTER","文化保存","host3@example.com","台南市","台灣","22.9997","120.2270","cultural-studio-photo-1","https://picsum.photos/seed/cultural-studio-1/800/600","工作室環境","cultural-studio-photo-2","https://picsum.photos/seed/cultural-studio-2/800/600","文化活動展示","cultural-studio-photo-3","https://picsum.photos/seed/cultural-studio-3/800/600","傳統工藝品","https://www.youtube.com/watch?v=example-cultural-studio","台灣傳統工藝介紹","https://360tour.example.com/cultural-studio"
"蘭嶼藍海潛店","lanyu-blue-ocean-dive","蘭嶼專業潛水中心，提供潛水課程、導潛服務和海洋生態教育，致力於海洋保育。","ACTIVE","OUTDOOR_ACTIVITY","海洋活動","lanyu.dive@example.com","蘭嶼","台灣","22.0444","121.5503","lanyu-dive-photo-1","https://picsum.photos/seed/lanyu-dive-1/800/600","潛水活動","lanyu-dive-photo-2","https://picsum.photos/seed/lanyu-dive-2/800/600","海洋生物","lanyu-dive-photo-3","https://picsum.photos/seed/lanyu-dive-3/800/600","潛水設備","https://www.youtube.com/watch?v=example-lanyu-dive","蘭嶼海洋生態介紹",""
"綠島海龜潛水","green-island-turtle-dive","綠島資深潛水中心，專注於海龜保育和珊瑚礁生態教育，提供專業潛水體驗。","ACTIVE","OUTDOOR_ACTIVITY","海洋活動","green.dive@example.com","綠島","台灣","22.6611","121.4925","green-dive-photo-1","https://picsum.photos/seed/green-dive-1/800/600","海龜保育活動","green-dive-photo-2","https://picsum.photos/seed/green-dive-2/800/600","珊瑚礁景觀","green-dive-photo-3","https://picsum.photos/seed/green-dive-3/800/600","潛水團隊","https://www.youtube.com/watch?v=example-green-dive","綠島海龜保育計畫介紹","https://360tour.example.com/green-dive"
"恆春陽光民宿","hengchun-sunshine-bnb","位於恆春古城附近的特色民宿，提供在地文化體驗和墾丁自然生態導覽。","ACTIVE","HOMESTAY","生態旅遊","hengchun.bnb@example.com","恆春","台灣","22.0021","120.7444","hengchun-bnb-photo-1","https://picsum.photos/seed/hengchun-bnb-1/800/600","民宿外觀","hengchun-bnb-photo-2","https://picsum.photos/seed/hengchun-bnb-2/800/600","房間環境","hengchun-bnb-photo-3","https://picsum.photos/seed/hengchun-bnb-3/800/600","周邊自然環境","","","https://360tour.example.com/hengchun-bnb"
"小琉球海景民宿","liuqiu-seaview-bnb","小琉球海景第一排民宿，專注於海龜生態保育和海洋環境教育活動。","ACTIVE","HOMESTAY","生態旅遊","liuqiu.bnb@example.com","小琉球","台灣","22.3425","120.3699","liuqiu-bnb-photo-1","https://picsum.photos/seed/liuqiu-bnb-1/800/600","海景房","liuqiu-bnb-photo-2","https://picsum.photos/seed/liuqiu-bnb-2/800/600","民宿環境","liuqiu-bnb-photo-3","https://picsum.photos/seed/liuqiu-bnb-3/800/600","海龜生態導覽","https://www.youtube.com/watch?v=example-liuqiu-bnb","小琉球海龜生態介紹",""
"蘭嶼拼板舟民宿","lanyu-canoe-homestay","由達悟族人經營的特色民宿，提供傳統文化體驗和海洋活動。","ACTIVE","HOMESTAY","文化保存","lanyu.homestay@example.com","蘭嶼","台灣","22.0541","121.5294","lanyu-homestay-photo-1","https://picsum.photos/seed/lanyu-homestay-1/800/600","達悟族特色民宿","lanyu-homestay-photo-2","https://picsum.photos/seed/lanyu-homestay-2/800/600","拼板舟文化","lanyu-homestay-photo-3","https://picsum.photos/seed/lanyu-homestay-3/800/600","傳統美食","","",""
"綠島星空民宿","green-island-starry-bnb","綠島特色民宿，提供夜間觀星和海洋生態體驗，致力於環境永續。","ACTIVE","HOMESTAY","生態旅遊","green.starry@example.com","綠島","台灣","22.6542","121.4836","green-starry-photo-1","https://picsum.photos/seed/green-starry-1/800/600","觀星平台","green-starry-photo-2","https://picsum.photos/seed/green-starry-2/800/600","房間環境","green-starry-photo-3","https://picsum.photos/seed/green-starry-3/800/600","生態導覽活動","https://www.youtube.com/watch?v=example-green-starry","綠島星空觀測指南","https://360tour.example.com/green-starry"
"恆春珊瑚潛水","hengchun-coral-dive","墾丁專業潛水中心，專注於珊瑚礁保育和海洋教育，提供多樣化潛水課程。","ACTIVE","OUTDOOR_ACTIVITY","海洋活動","hengchun.dive@example.com","恆春","台灣","21.9458","120.7892","hengchun-dive-photo-1","https://picsum.photos/seed/hengchun-dive-1/800/600","珊瑚礁生態","hengchun-dive-photo-2","https://picsum.photos/seed/hengchun-dive-2/800/600","潛水活動","hengchun-dive-photo-3","https://picsum.photos/seed/hengchun-dive-3/800/600","潛水課程","","",""
"小琉球海龜潛店","liuqiu-turtle-dive","小琉球專業潛水中心，以海龜保育為主題，提供浮潛和潛水體驗。","ACTIVE","OUTDOOR_ACTIVITY","海洋活動","liuqiu.dive@example.com","小琉球","台灣","22.3392","120.3631","liuqiu-dive-photo-1","https://picsum.photos/seed/liuqiu-dive-1/800/600","海龜生態","liuqiu-dive-photo-2","https://picsum.photos/seed/liuqiu-dive-2/800/600","浮潛體驗","liuqiu-dive-photo-3","https://picsum.photos/seed/liuqiu-dive-3/800/600","潛水設備","https://www.youtube.com/watch?v=example-liuqiu-dive","小琉球海龜觀察指南","https://360tour.example.com/liuqiu-dive"